Coin,Hurst,Slope,Intercept,R_squared,Std_err
WIF_USDT,0.21552104703920608,0.21552104703920608,-0.7406749867588207,0.9761371203057422,0.008172806925758721
FET_USDT,0.35892622886123515,0.35892622886123515,-1.1213607733778457,0.9779484608431385,0.013072005003607045
LDO_USDT,0.3809963640334073,0.3809963640334073,-2.0042444220086884,0.9931222566855268,0.007689852234887597
ETH_USDT,0.38986552495930077,0.38986552495930077,-3.0547819948206794,0.97721573425298,0.014438187107180027
SOL_USDT,0.4237130768261843,0.4237130768261843,-2.623823020204752,0.9948076906229764,0.007424344586511181
TAO_USDT,0.4604656297127878,0.4604656297127878,-1.8521494417631024,0.9845251272222838,0.014001446313650124
DOGE_USDT,0.529397359573545,0.529397359573545,-2.7134531494806486,0.9573883418987104,0.027088032366022002
RENDER_USDT,0.5407487497158799,0.5407487497158799,-1.901840243578485,0.9942213766575194,0.009998657884256421
OP_USDT,0.666086083409137,0.666086083409137,-1.7376433508151736,0.999577362865732,0.003321861487881864
FLOKI_USDT,0.7005028778569369,0.7005028778569369,-2.917137467653703,0.9937439723169701,0.013480237391663466
SHIB_USDT,0.7012271403032766,0.7012271403032766,-2.166506159435213,0.9961327474564606,0.010596853104017563
ARB_USDT,0.7372790005098596,0.7372790005098596,-2.4475823646602706,0.9989371734858595,0.0058326982116810415
PEPE_USDT,0.7739784207377253,0.7739784207377253,-2.3703187049438386,0.9990259416131491,0.005861496416639246
DOGE,0.9906768815773196,0.9906768815773196,-5.163583513114448,0.9999969099505209,0.0004223679497507827
