timestamp,signal,strength,zscore,spread,estimate,volatility,factor_q,status
2023-12-31 17:00:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:01:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:02:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:03:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:04:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:05:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:06:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:07:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:08:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:09:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:10:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:11:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:12:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:13:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:14:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:15:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:16:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:17:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:18:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:19:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:20:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:21:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:22:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:23:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:24:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:25:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:26:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:27:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:28:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:29:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:30:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:31:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:32:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:33:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:34:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:35:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:36:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:37:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:38:00,NEUTRAL,0.0,,,,,1.0,warmup
2023-12-31 17:39:00,NEUTRAL,0.0,,,,,1.0,warmup
